timestamp,name,price,change_24h,market_cap
2025-12-03 23:28:34,31,"Mantle
MNT
Buy",0.36%,3.52%
2025-12-03 23:28:34,32,"Bittensor
TAO
Buy",1.39%,8.21%
2025-12-03 23:28:34,33,"Aave
AAVE
Buy",0.38%,5.49%
2025-12-03 23:28:34,34,"Canton
CC
Buy",0.20%,6.85%
2025-12-03 23:28:34,35,"World Liberty Financial USD
USD1
Buy",0.00%,0.02%
2025-12-03 23:28:34,36,"Aster
ASTER
Buy",1.04%,4.14%
2025-12-03 23:28:34,37,"Bitget Token
BGB
Buy",0.37%,0.41%
2025-12-03 23:28:34,38,"NEAR Protocol
NEAR
Buy",0.25%,6.53%
2025-12-03 23:28:34,39,"OKB
OKB
Buy",0.35%,3.36%
2025-12-03 23:28:34,40,"Ethereum Classic
ETC
Buy",0.30%,0.52%
2025-12-03 23:28:34,41,"Ethena
ENA
Buy",2.81%,2.55%
2025-12-03 23:28:34,42,"Pepe
PEPE
Buy",1.31%,3.12%
2025-12-03 23:28:34,43,"Internet Computer
ICP
Buy",0.31%,14.35%
2025-12-03 23:28:34,44,"Pi
PI
Buy",0.23%,9.40%
2025-12-03 23:28:34,45,"Ondo
ONDO
Buy",0.93%,0.77%
2025-12-03 23:28:34,46,"Tether Gold
XAUt
Buy",0.20%,1.33%
2025-12-03 23:28:34,47,"Kaspa
KAS
Buy",1.21%,4.63%
2025-12-03 23:28:34,48,"Worldcoin
WLD
Buy",1.00%,2.40%
2025-12-03 23:28:34,49,"Aptos
APT
Buy",0.42%,11.91%
2025-12-03 23:28:34,50,"PAX Gold
PAXG
Buy",0.20%,1.32%
2025-12-03 23:28:34,51,"MemeCore
M
Buy",0.27%,30.02%
2025-12-03 23:28:34,52,"Polygon (prev. MATIC)
POL
Buy",0.52%,6.89%
2025-12-03 23:28:34,53,"KuCoin Token
KCS
Buy",0.08%,13.47%
2025-12-03 23:28:34,54,"Global Dollar
USDG
Buy",0.00%,0.02%
2025-12-03 23:28:34,55,"Sky
SKY
Buy",0.29%,24.76%
2025-12-03 23:28:34,56,"Algorand
ALGO
Buy",0.40%,3.05%
2025-12-03 23:28:34,57,"Arbitrum
ARB
Buy",0.80%,0.02%
2025-12-03 23:28:34,58,"OFFICIAL TRUMP
TRUMP
Buy",0.15%,3.16%
2025-12-03 23:28:34,59,"VeChain
VET
Buy",0.30%,2.70%
